snapped_at,price,market_cap,total_volume
2022-02-13 00:00:00 UTC,81.16809113081067,19813047767.691463,849647460.848177
2022-02-14 00:00:00 UTC,78.26386646264866,19234015689.580048,529755145.9971326
2022-02-15 00:00:00 UTC,81.96691615397846,20076170837.628372,684448631.4462265
2022-02-16 00:00:00 UTC,92.80390482189645,22898881742.141956,970909305.2598561
2022-02-17 00:00:00 UTC,95.4392170602394,23575036247.060913,1333420687.072834
2022-02-18 00:00:00 UTC,88.22137798419865,21722888537.97914,1383010676.7536752
2022-02-19 00:00:00 UTC,84.08542703442194,20666288885.38893,957924969.9419198
2022-02-20 00:00:00 UTC,85.23013900266344,20867020371.071518,636547008.3074145
2022-02-21 00:00:00 UTC,77.41401345063362,19088069720.957306,765815215.2497256
2022-02-22 00:00:00 UTC,70.01952448270374,17240927125.27028,1247817729.5230663
2022-02-23 00:00:00 UTC,74.53198072066766,18287622395.737656,1024212300.2540458
2022-02-24 00:00:00 UTC,73.9086267581712,18193338945.956024,1294350940.2904615
2022-02-25 00:00:00 UTC,76.61415673133952,18830562451.198696,2333967745.423187
2022-02-26 00:00:00 UTC,80.98431323065903,19929297536.55785,1478105195.4363196
2022-02-27 00:00:00 UTC,81.63315481487143,20037179963.693264,1091134381.363367
2022-02-28 00:00:00 UTC,74.94355130572825,18405566797.630634,1182335803.249564
2022-03-01 00:00:00 UTC,84.35136291891277,20678374642.598232,1381432825.12984
2022-03-02 00:00:00 UTC,86.8387438261796,21366728263.48392,1831128371.972589
2022-03-03 00:00:00 UTC,83.18374727675494,20583813351.155586,1302568066.0976186
2022-03-04 00:00:00 UTC,78.8204261743839,19488998594.910755,1220049359.458512
2022-03-05 00:00:00 UTC,75.76934702978485,20135720441.268,1420126801.3780692
2022-03-06 00:00:00 UTC,76.91685905350708,20410960617.496662,763499420.9062598
2022-03-07 00:00:00 UTC,72.56544866386706,19298906468.120083,716010210.6086961
2022-03-08 00:00:00 UTC,71.90121422528819,19103616815.02364,905588652.9841592
2022-03-09 00:00:00 UTC,72.91840310031066,19415435795.16342,1072935854.6159312
2022-03-10 00:00:00 UTC,77.68601254822927,20664526832.843094,1349934553.223157
2022-03-11 00:00:00 UTC,74.0372859223744,19691912748.751568,952703727.2442709
2022-03-12 00:00:00 UTC,71.19753938241577,19041553664.375774,1167140208.8914454
2022-03-13 00:00:00 UTC,70.9730814670207,18903706416.681538,465679025.9340313
2022-03-14 00:00:00 UTC,68.1293468767722,18103520231.041252,486634276.53617734
2022-03-15 00:00:00 UTC,68.72931682791237,18218747473.442318,999390314.2554866
2022-03-16 00:00:00 UTC,69.86069079043209,18668753893.53421,786640492.6313237
2022-03-17 00:00:00 UTC,74.09989084863368,19550754192.467888,915621225.4831038
2022-03-18 00:00:00 UTC,79.69740209659133,21290596551.760868,1363739727.978561
2022-03-19 00:00:00 UTC,85.9769995308867,22954938132.50101,1402596714.7191718
2022-03-20 00:00:00 UTC,89.7789238550164,23994800348.194565,1351350651.285445
2022-03-21 00:00:00 UTC,84.83859791861929,22691615767.405655,1028609342.7501998
2022-03-22 00:00:00 UTC,86.54510826543354,23124499054.986755,1501322464.0349138
2022-03-23 00:00:00 UTC,84.08753239701927,22478694682.862793,1318049831.20307
2022-03-24 00:00:00 UTC,86.01083064214492,22946360407.469246,1042780757.5433183
2022-03-25 00:00:00 UTC,87.45969275809134,23390699477.972233,1118884240.8874075
2022-03-26 00:00:00 UTC,83.65295450305895,22377088634.591534,1003935169.2375883
2022-03-27 00:00:00 UTC,86.05962422715535,23022140760.74357,564325205.6338288
2022-03-28 00:00:00 UTC,89.54067092463066,23754196857.046593,645747699.6517264
2022-03-29 00:00:00 UTC,89.45931618959997,24280414595.552246,1552735076.911306
2022-03-30 00:00:00 UTC,92.74506752153239,24697648960.772915,1402031175.3276286
2022-03-31 00:00:00 UTC,96.03856721446344,25725736661.11448,1562475923.3481615
2022-04-01 00:00:00 UTC,95.70641184340114,25580015320.664375,1952352331.1073666
2022-04-02 00:00:00 UTC,96.69185175690045,25821773129.929142,1508156835.0120423
2022-04-03 00:00:00 UTC,96.2666507708467,25877773103.08157,1401882400.4857926
2022-04-04 00:00:00 UTC,97.59860833356178,26083107433.036095,1221707937.077418
2022-04-05 00:00:00 UTC,95.48411623016165,25498906585.249554,1095688964.4181812
2022-04-06 00:00:00 UTC,91.09254723289223,24474793968.178226,1033422920.3627862
2022-04-07 00:00:00 UTC,82.88620887033565,22360667453.77731,1603898087.2935352
2022-04-08 00:00:00 UTC,87.9556001242691,23646501242.849194,1357968821.355999
2022-04-09 00:00:00 UTC,83.7158295168013,22280026673.844433,1355731990.6838064
2022-04-10 00:00:00 UTC,84.5988854460848,22669362469.854675,537450234.9200071
2022-04-11 00:00:00 UTC,82.08921919603439,22161940663.489002,437286248.5319061
2022-04-12 00:00:00 UTC,74.09278496530659,19929328820.19623,1102297837.662061
2022-04-13 00:00:00 UTC,76.52667001891224,20530719241.858547,825829559.8692002
2022-04-14 00:00:00 UTC,80.04523727101727,21449100511.949654,688732079.4317803
2022-04-15 00:00:00 UTC,76.85183582029906,20625953033.839718,639443799.4655795
2022-04-16 00:00:00 UTC,77.41784866621684,20754903817.548954,551282644.5113503
2022-04-17 00:00:00 UTC,77.98882366271391,20939818655.391335,282062330.76312375
2022-04-18 00:00:00 UTC,75.72613822533336,20207139932.557625,285789423.33771616
2022-04-19 00:00:00 UTC,77.7603107678984,20842054603.89379,699073896.1443837
