snapped_at,price,market_cap,total_volume
2024-03-23 00:00:00 UTC,1.5994951420599475,4228273401.3662753,523196143.5166771
2024-03-24 00:00:00 UTC,1.603207753846414,4260373489.2445564,328386413.0451721
2024-03-25 00:00:00 UTC,1.6720421755143886,4432833082.848514,376349203.07235825
2024-03-26 00:00:00 UTC,1.7234783202433068,4565006399.909385,526648929.14271975
2024-03-27 00:00:00 UTC,1.7016462362215121,4510070414.461962,482944302.7459287
2024-03-28 00:00:00 UTC,1.6582331191987878,4381274960.320511,517192555.72546506
2024-03-29 00:00:00 UTC,1.6642638542528596,4420945954.176562,351001303.93611234
2024-03-30 00:00:00 UTC,1.6468981691369984,4369472340.682274,274439105.70098436
2024-03-31 00:00:00 UTC,1.642232328446121,4351526254.229028,240307568.39766312
2024-04-01 00:00:00 UTC,1.661159842927722,4409102060.164006,207879497.33159965
2024-04-02 00:00:00 UTC,1.57078971791737,4173914533.019953,391648761.9945369
2024-04-03 00:00:00 UTC,1.450591623992556,3853166561.468544,545786034.249427
2024-04-04 00:00:00 UTC,1.4766618724336789,3920937243.721493,362281099.5779896
2024-04-05 00:00:00 UTC,1.4590860083445225,3868766014.616774,318332518.5965988
2024-04-06 00:00:00 UTC,1.4361135262742875,3812949186.693125,309335400.356844
2024-04-07 00:00:00 UTC,1.4899915133820363,3951690300.4504995,193936761.39483836
2024-04-08 00:00:00 UTC,1.5280533106756786,4056563063.51023,202142283.57441768
2024-04-09 00:00:00 UTC,1.5713977984059313,4170329168.8111157,330886806.27089274
2024-04-10 00:00:00 UTC,1.4829437046445837,3939487314.615751,434401043.2000276
2024-04-11 00:00:00 UTC,1.4650750896078648,3888106840.732374,307009688.98440295
2024-04-12 00:00:00 UTC,1.418060831236554,3762331248.9275246,224459235.22604132
2024-04-13 00:00:00 UTC,1.1761519626405337,3115026957.0638375,809533558.9144408
2024-04-14 00:00:00 UTC,1.0370685640002635,2756651030.08608,961361723.8018531
2024-04-15 00:00:00 UTC,1.1813472624892825,3144506359.3651843,793530066.83768
2024-04-16 00:00:00 UTC,1.1548778299127067,3060540629.1968055,570859650.5408807
2024-04-17 00:00:00 UTC,1.153951127745728,3065200271.3501873,415204703.74154395
2024-04-18 00:00:00 UTC,1.1064562196573624,2933877500.6769047,293675171.7331693
2024-04-19 00:00:00 UTC,1.1383868539756221,3021454857.7537103,265563221.40624613
2024-04-20 00:00:00 UTC,1.1272357796111125,3000465806.6943135,360393492.95926493
2024-04-21 00:00:00 UTC,1.2139006168199242,3224397181.4122434,212572399.8943149
2024-04-22 00:00:00 UTC,1.1882558888313577,3153780641.948791,192059657.83194026
2024-04-23 00:00:00 UTC,1.2091378736354705,3210527319.810623,219151165.94161978
2024-04-24 00:00:00 UTC,1.1771552189187724,3122837818.3874464,198435513.0115751
2024-04-25 00:00:00 UTC,1.116319852274392,2960980980.7297707,308923203.825196
2024-04-26 00:00:00 UTC,1.0916337922267683,2897658694.167145,230167165.56245884
2024-04-27 00:00:00 UTC,1.065099066369359,2825359361.16003,176193934.9428804
2024-04-28 00:00:00 UTC,1.1235245040620025,2973572493.82464,301469175.0997949
2024-04-29 00:00:00 UTC,1.1001686508033417,2923330706.703594,296736933.01482564
2024-04-30 00:00:00 UTC,1.0578257531670572,2809483283.524115,293589162.4221306
2024-05-01 00:00:00 UTC,1.022721908255212,2723663452.647699,416488171.4107262
2024-05-02 00:00:00 UTC,1.0334110608496865,2745874820.6918917,522900110.3725151
2024-05-03 00:00:00 UTC,1.0300858173309424,2733554413.1326017,323615409.80079895
2024-05-04 00:00:00 UTC,1.0663997267206353,2835793793.4905844,326988699.53076965
2024-05-05 00:00:00 UTC,1.0616089428550661,2819257645.634257,229010502.85305697
2024-05-06 00:00:00 UTC,1.0707603936682648,2838815981.231119,251697951.38571706
2024-05-07 00:00:00 UTC,1.061415442205648,2818224836.8353157,400718292.5440479
2024-05-08 00:00:00 UTC,1.0286865078793002,2732831853.7533727,275468954.7782096
2024-05-09 00:00:00 UTC,1.0295528644011211,2732591567.596159,287824034.3841425
2024-05-10 00:00:00 UTC,1.0407021156933136,2761726026.5759563,232760223.14610577
2024-05-11 00:00:00 UTC,0.9957674119164566,2642973934.757154,288802554.1580988
2024-05-12 00:00:00 UTC,0.9991353030691518,2651979223.016199,169003242.91310757
2024-05-13 00:00:00 UTC,0.9975492667124808,2647677822.6208,110490856.37917069
2024-05-14 00:00:00 UTC,0.9807716598521674,2604817573.8341312,263456072.36745346
2024-05-15 00:00:00 UTC,0.9346591617190385,2479389160.0181623,258308719.47502053
2024-05-16 00:00:00 UTC,0.9952449752028405,2645530734.1733265,267591084.46810597
2024-05-17 00:00:00 UTC,0.972329143738659,2580119577.010689,236468775.45878005
2024-05-18 00:00:00 UTC,1.0343917599817283,2742028393.270235,331747002.8585925
2024-05-19 00:00:00 UTC,1.0175081252922036,2702584482.604717,199027333.59434524
2024-05-20 00:00:00 UTC,0.9718432387899713,2577784115.1154046,178292276.57459387
2024-05-21 00:00:00 UTC,1.1233047888767056,2984640822.013304,597353026.1345539
2024-05-22 00:00:00 UTC,1.2031330629216623,3187670399.592516,953910707.2306373
2024-05-23 00:00:00 UTC,1.1432062551595485,3035237079.5167007,523933018.3039103
2024-05-24 00:00:00 UTC,1.1970686005561004,3170770930.1752768,1172690984.694964
2024-05-25 00:00:00 UTC,1.157431433721268,3071337059.9915767,470311701.86814624
2024-05-26 00:00:00 UTC,1.19056001592109,3155773550.2551856,339294633.64583004
2024-05-27 00:00:00 UTC,1.1945365165129544,3178113841.7105975,457261476.2467434
2024-05-28 00:00:00 UTC,1.2314669417884836,3266132596.6212096,511498547.123102
2024-05-29 00:00:00 UTC,1.2003230928995468,3188991578.0446806,407026906.09474957
2024-05-30 00:00:00 UTC,1.139594394310119,3301471478.9615674,288441470.9880787
2024-05-31 00:00:00 UTC,1.1282709973817382,3266286626.7389297,253826668.68520018
2024-06-01 00:00:00 UTC,1.120858217301959,3251664640.834368,241790649.5223626
2024-06-02 00:00:00 UTC,1.1327377102537455,3279433942.2165275,120424440.9545895
2024-06-03 00:00:00 UTC,1.1113974870387244,3221191985.2943816,177388872.1951095
2024-06-04 00:00:00 UTC,1.104810531059708,3197912202.3830113,197611782.866447
2024-06-05 00:00:00 UTC,1.1080310029389204,3206865200.403569,225704051.61623332
2024-06-06 00:00:00 UTC,1.1246144867117849,3253954745.2625647,218095177.9663379
2024-06-07 00:00:00 UTC,1.0893096621394478,3155500991.4560575,177607877.9340908
2024-06-08 00:00:00 UTC,0.9994278154857629,2896402071.044136,386727882.0012686
2024-06-09 00:00:00 UTC,0.9677306992246906,2800381148.6374483,224002765.99922493
2024-06-10 00:00:00 UTC,0.9792569735711444,2835631766.0735846,239909160.6358151
2024-06-11 00:00:00 UTC,0.9603964486410608,2781792316.1567845,261761103.38192806
2024-06-12 00:00:00 UTC,0.9372478782377346,2713441070.167455,421019148.61495095
2024-06-13 00:00:00 UTC,0.9719997093477752,2815676845.5330243,298499069.1441253
2024-06-14 00:00:00 UTC,0.9363771198405287,2716180094.921515,256545324.42673665
2024-06-15 00:00:00 UTC,0.9118298387867797,2639721620.628689,250089870.09366503
2024-06-16 00:00:00 UTC,0.921938357297178,2670769300.075034,136703538.18741465
2024-06-17 00:00:00 UTC,0.9232199174499465,2674249150.854385,125955102.66585918
2024-06-18 00:00:00 UTC,0.8585547310270151,2491511122.202702,247557093.3177246
2024-06-19 00:00:00 UTC,0.7938854345402937,2296719021.3746285,422352268.377553
2024-06-20 00:00:00 UTC,0.8111564397757057,2617711392.6437716,223717646.9928952
2024-06-21 00:00:00 UTC,0.800749095009655,2591381374.7046323,226571163.34157127
2024-06-22 00:00:00 UTC,0.8008385760075454,2590735731.8262515,225393961.42585552
2024-06-23 00:00:00 UTC,0.804083644404737,2599625333.8831143,108786047.95135313
2024-06-24 00:00:00 UTC,0.7824072983647986,2526838734.1059422,129174980.7131289
2024-06-25 00:00:00 UTC,0.8186005479895943,2644407615.2045717,312012325.9886026
2024-06-26 00:00:00 UTC,0.8306390174972755,2682600696.16676,196944373.54220036
2024-06-27 00:00:00 UTC,0.810672383951221,2620941040.1008997,173797448.40475893
2024-06-28 00:00:00 UTC,0.8211949873940272,2652437856.610568,173724126.99583662
2024-06-29 00:00:00 UTC,0.7941487721944079,2570357511.70654,174601191.07997498
2024-06-30 00:00:00 UTC,0.7774603325237951,2513430279.2974486,112670244.86594827
2024-07-01 00:00:00 UTC,0.8009843376979843,2586013074.1524777,122428922.1985227
2024-07-02 00:00:00 UTC,0.7793498127309818,2516713327.531905,148726489.86284277
2024-07-03 00:00:00 UTC,0.7816706182566296,2522771613.9851747,131474664.4118323
2024-07-04 00:00:00 UTC,0.7644197720907768,2468961238.398748,226043982.86046934
